event_id,timestamp,user_id,user_name,department,platform,file_accessed,time_gap_sec,activity_rate_per_hr,ewma_previous,ewma_new,ewma_deviation,ewma_anomaly_flagged,lstm_score,isolation_forest_score,hybrid_anomaly_score,hybrid_anomaly_flagged,pii_sensitivity_score,sbrs_value,sbrs_category,base_action,hybrid_action,is_true_threat,ewma_correct,hybrid_correct
ANOM-00491,2026-04-21 10:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,logo_pack_48.docx,3600,6.0,6.504,6.3529,-0.0775,False,0.0834,0.0,0.0209,False,1,0.0105,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00492,2026-04-21 11:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,board_minutes_11.xlsx,3600,4.0,6.353,5.6471,-0.3704,False,0.1106,0.0,0.0277,False,91,0.973,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00493,2026-04-21 12:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,press_release_81.pdf,3600,5.0,5.647,5.4529,-0.1146,False,0.1006,0.001,0.0259,False,0,0.0,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00494,2026-04-21 13:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_63.pdf,3600,29.0,5.453,12.5171,4.3182,True,0.0,0.0846,0.0635,False,66,0.7648,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00495,2026-04-21 14:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,merger_memo_93.csv,3600,17.0,12.517,13.8619,0.3581,False,0.0,0.1304,0.0978,False,86,1.0703,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00496,2026-04-21 15:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_68.png,3600,14.0,13.862,13.9034,0.01,False,0.0,0.0,0.0,False,54,0.54,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00497,2026-04-21 16:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_96.png,3600,15.0,13.903,14.2324,0.0789,False,0.0,0.0,0.0,False,71,0.71,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00498,2026-04-21 17:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,runbook_31.xlsx,3600,25.0,14.232,17.4626,0.7566,False,0.0,0.0664,0.0498,False,32,0.3598,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00499,2026-04-21 18:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,audit_report_31.csv,3600,26.0,17.463,20.0239,0.4889,False,0.6284,1.0,0.9071,True,98,3.2024,HIGH-RISK,PERMIT,BLOCK,True,False,True
ANOM-00500,2026-04-21 19:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,onboarding_guide_59.png,3600,3.0,20.024,14.9167,-0.8502,False,0.2723,0.0,0.0681,False,25,0.2926,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00501,2026-04-21 20:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_91.pdf,3600,1.0,14.917,10.7417,-0.933,False,0.023,0.0,0.0057,False,59,0.5984,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00503,2026-04-21 22:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,onboarding_guide_48.csv,7200,1.0,10.742,7.8192,-0.9069,False,0.0,0.0,0.0,False,34,0.34,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00934,2026-04-18 21:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,roadmap_98.docx,10800,1.0,1.839,1.5871,-0.4561,False,0.3419,0.5163,0.4727,False,37,0.8072,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00935,2026-04-18 22:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,customer_list_10.docx,3600,1.0,1.587,1.411,-0.3699,False,0.0856,0.1326,0.1208,False,66,0.8593,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00936,2026-04-18 23:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_96.csv,3600,1.0,1.411,1.2877,-0.2913,False,0.072,0.2764,0.2253,False,94,1.4695,SENSITIVE,PERMIT,ALERT,False,True,True
ANOM-00937,2026-04-19 00:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_19.png,3600,1.0,1.288,1.2014,-0.2234,False,0.0045,0.0,0.0011,False,87,0.8724,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00941,2026-04-19 04:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,roadmap_20.xlsx,14400,1.0,1.201,1.141,-0.1676,False,0.0,0.0,0.0,False,17,0.17,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00942,2026-04-19 05:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_42.png,3600,3.0,1.141,1.6987,1.6294,False,0.0296,0.0,0.0074,False,80,0.8148,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00943,2026-04-19 06:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_11.pdf,3600,1.0,1.699,1.4891,-0.4113,False,0.0,0.0,0.0,False,72,0.72,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00946,2026-04-19 09:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_60.xlsx,10800,1.0,1.489,1.3423,-0.3284,False,0.0,0.0,0.0,False,64,0.64,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00947,2026-04-19 10:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_24.pdf,3600,3.0,1.342,1.8396,1.2349,False,0.0,0.0,0.0,False,49,0.49,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00948,2026-04-19 11:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_23.png,3600,1.0,1.84,1.5878,-0.4564,False,0.0,0.0,0.0,False,60,0.6,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00949,2026-04-19 12:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_38.pdf,3600,4.0,1.588,2.3114,1.5193,False,0.0,0.0,0.0,False,81,0.81,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00950,2026-04-19 13:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,sprint_notes_03.docx,3600,2.0,2.311,2.218,-0.1347,False,0.0,0.0,0.0,False,37,0.37,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00951,2026-04-19 14:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_77.pdf,3600,1.0,2.218,1.8526,-0.5491,False,0.0942,0.3541,0.2891,False,58,0.9992,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00952,2026-04-19 15:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,roadmap_20.docx,3600,4.0,1.853,2.4968,1.1591,False,0.074,0.0,0.0185,False,34,0.3557,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00953,2026-04-19 16:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,customer_list_08.xlsx,3600,2.0,2.497,2.3478,-0.199,False,0.1083,0.2509,0.2152,False,61,0.9382,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00954,2026-04-19 17:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,customer_list_39.csv,3600,2.0,2.348,2.2434,-0.1481,False,0.0459,0.0,0.0115,False,56,0.5761,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00955,2026-04-19 18:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_96.png,3600,3.0,2.243,2.4704,0.3372,False,0.1074,0.1295,0.124,False,85,1.1135,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00956,2026-04-19 19:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_84.pdf,3600,1.0,2.47,2.0293,-0.5952,False,0.1133,0.0,0.0283,False,76,0.8138,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00958,2026-04-19 21:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_45.csv,7200,1.0,2.029,1.7205,-0.5072,False,0.0576,0.0,0.0144,False,86,0.891,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00961,2026-04-20 00:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,audit_report_09.docx,10800,1.0,1.721,1.5044,-0.4188,False,0.0087,0.0682,0.0533,False,96,1.0879,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00962,2026-04-20 01:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_83.pdf,3600,1.0,1.504,1.353,-0.3353,False,0.22,0.1849,0.1936,False,54,0.8014,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00963,2026-04-20 02:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_40.csv,3600,2.0,1.353,1.5471,0.4781,False,0.2797,0.1314,0.1684,False,85,1.2078,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00964,2026-04-20 03:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,press_release_45.png,3600,37.0,1.547,12.183,22.9152,True,0.3642,0.1246,0.1845,False,17,0.2484,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00967,2026-04-20 06:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,template_86.png,10800,44.0,12.183,21.7281,2.6116,True,0.1826,0.1754,0.1772,False,5,0.0721,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00968,2026-04-20 07:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,sprint_notes_63.xlsx,3600,36.0,21.728,26.0097,0.6568,False,0.1225,0.0,0.0306,False,26,0.2799,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00969,2026-04-20 08:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,salary_band_90.pdf,3600,8.0,26.01,20.6068,-0.6924,False,1.0,0.8467,0.885,True,64,2.056,HIGH-RISK,PERMIT,BLOCK,True,False,True
ANOM-00970,2026-04-20 09:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_62.docx,3600,19.0,20.607,20.1247,-0.078,False,1.0,0.784,0.838,True,59,1.826,SENSITIVE,PERMIT,ALERT,True,False,True
ANOM-00971,2026-04-20 10:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,audit_report_67.docx,3600,23.0,20.125,20.9873,0.1429,False,0.818,0.4755,0.5611,False,91,2.1865,HIGH-RISK,PERMIT,BLOCK,False,True,True
ANOM-00972,2026-04-20 11:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,onboarding_guide_73.pdf,3600,15.0,20.987,19.1911,-0.2853,False,0.748,0.0,0.187,False,24,0.3522,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00973,2026-04-20 12:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_39.png,3600,32.0,19.191,23.0338,0.6674,False,0.5247,0.1973,0.2791,False,77,1.3073,SENSITIVE,PERMIT,ALERT,False,True,True
ANOM-00974,2026-04-20 13:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_35.csv,3600,16.0,23.034,20.9236,-0.3054,False,0.3389,0.0,0.0847,False,95,1.1512,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00975,2026-04-20 14:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_93.png,3600,31.0,20.924,23.9466,0.4816,False,0.2449,0.0588,0.1054,False,78,0.9855,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00976,2026-04-20 15:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_41.pdf,3600,20.0,23.947,22.7626,-0.1648,False,0.2465,0.013,0.0713,False,84,0.9897,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00977,2026-04-20 16:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_41.pdf,3600,15.0,22.763,20.4338,-0.341,False,0.3204,0.2023,0.2319,False,62,0.9794,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00978,2026-04-20 17:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_05.docx,3600,21.0,20.434,20.6037,0.0277,False,0.2685,0.0,0.0671,False,83,0.9692,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00979,2026-04-20 18:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_78.xlsx,3600,12.0,20.604,18.0226,-0.4176,False,0.1915,0.0325,0.0723,False,58,0.6848,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00980,2026-04-20 19:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,roadmap_28.xlsx,3600,7.0,18.023,14.7158,-0.6116,False,0.0,0.0,0.0,False,27,0.27,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00981,2026-04-20 20:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,runbook_89.csv,3600,6.0,14.716,12.1011,-0.5923,False,0.0108,0.0,0.0027,False,25,0.2517,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00982,2026-04-20 21:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_22.pdf,3600,1.0,12.101,8.7707,-0.9174,False,0.0025,0.0,0.0006,False,80,0.8012,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00983,2026-04-20 22:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,sprint_notes_05.png,3600,1.0,8.771,6.4395,-0.886,False,0.0249,0.0,0.0062,False,19,0.1929,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00984,2026-04-20 23:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_60.xlsx,3600,1.0,6.44,4.8077,-0.8447,False,0.084,0.0,0.021,False,68,0.7157,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00986,2026-04-21 01:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_23.png,7200,1.0,4.808,3.6654,-0.792,False,0.0287,0.0,0.0072,False,59,0.6006,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00987,2026-04-21 02:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,merger_memo_71.xlsx,3600,1.0,3.665,2.8658,-0.7272,False,0.1416,0.034,0.0609,False,82,0.9448,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00988,2026-04-21 03:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,vendor_contract_48.docx,3600,1.0,2.866,2.306,-0.6511,False,0.0,0.0,0.0,False,59,0.59,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00991,2026-04-21 06:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_21.docx,10800,1.0,2.306,1.9142,-0.5664,False,0.0,0.0,0.0,False,85,0.85,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00992,2026-04-21 07:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_05.docx,3600,3.0,1.914,2.24,0.5672,False,0.0,0.0,0.0,False,84,0.84,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00993,2026-04-21 08:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_91.xlsx,3600,9.0,2.24,4.268,3.0179,True,0.0935,0.0,0.0234,False,81,0.8574,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00994,2026-04-21 09:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_65.docx,3600,18.0,4.268,8.3876,3.2175,True,0.0891,0.0,0.0223,False,62,0.6546,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00995,2026-04-21 10:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,team_sync_03.png,3600,19.0,8.388,11.5713,1.2653,False,0.0096,0.0,0.0024,False,20,0.2012,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00996,2026-04-21 11:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,financials_q_69.xlsx,3600,17.0,11.571,13.1999,0.4692,False,0.0,0.0457,0.0343,False,66,0.7166,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00997,2026-04-21 12:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,board_minutes_07.docx,3600,21.0,13.2,15.5399,0.5909,False,0.0,0.0,0.0,False,92,0.92,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00998,2026-04-21 13:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,customer_list_28.pdf,3600,17.0,15.54,15.978,0.094,False,0.0,0.0,0.0,False,55,0.55,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00999,2026-04-21 14:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,customer_list_83.docx,3600,17.0,15.978,16.2846,0.064,False,0.0,0.0,0.0,False,68,0.68,SAFE,PERMIT,PERMIT,False,True,True
ANOM-01000,2026-04-21 15:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,roadmap_90.xlsx,3600,19.0,16.285,17.0992,0.1667,False,0.0,0.0,0.0,False,27,0.27,SAFE,PERMIT,PERMIT,False,True,True
ANOM-01001,2026-04-21 16:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_06.xlsx,3600,18.0,17.099,17.3694,0.0527,False,0.0,0.0567,0.0425,False,69,0.7633,SAFE,PERMIT,PERMIT,False,True,True
ANOM-01002,2026-04-21 17:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,salary_band_49.csv,3600,15.0,17.369,16.6586,-0.1364,False,0.0,0.0,0.0,False,60,0.6,SAFE,PERMIT,PERMIT,False,True,True
ANOM-01003,2026-04-21 18:00:00,USR002,Noah Rhodes,Legal,Microsoft OneDrive,pentest_findings_73.csv,3600,15.0,16.659,16.161,-0.0996,False,0.0,0.0,0.0,False,79,0.79,SAFE,PERMIT,PERMIT,False,True,True
